,name,name2,position
3,Harry Kane,harry kane,FW
4,Bernardo Silva,bernardo silva,FW
5,Ivan Toney,ivan toney,FW
6,Sadio Mané,sadio mane,FW
7,Phil Foden,phil foden,FW
8,Jarrod Bowen,jarrod bowen,FW
9,Diogo Jota,diogo jota,FW
10,Cristiano Ronaldo,cristiano ronaldo,FW
11,Allan Saint-Maximin,allan saint maximin,FW
12,Raheem Sterling,raheem sterling,FW
13,Jack Grealish,jack grealish,FW
14,Riyad Mahrez,riyadh mahrez,FW
15,Raphinha,raphinha,FW
16,Gabriel Jesus,gabriel jesus,FW
17,Mason Greenwood,mason greenwood,FW
18,Kai Havertz,kai havertz,FW
19,Adama Traoré,adama traore,FW
20,Wilfried Zaha,wilfred zaha,FW
21,Michail Antonio,mikhail antonio,FW
22,Alexandre Lacazette,alexandre lacazette,FW
23,Emmanuel Dennis,emmanuel dennis,FW
24,Richarlison,richarlison,FW
25,Lucas Moura,lucas mora,FW
26,Jamie Vardy,jamie vardy,FW
27,Ollie Watkins,ollie watkins,FW
28,Leandro Trossard,leandro trossard,FW
29,Daniel Podence,daniel podence,FW
30,Joelinton,joelinton,FW
31,Demarai Gray,demarai gray,FW
32,Roberto Firmino,roberto firmino,FW
33,Gabriel Martinelli,gabriel martinelli,FW
34,Bryan Mbeumo,bryan mbeumo,FW
35,Che Adams,che adams,FW
36,Ademola Lookman,adamola lookman,FW
37,Romelu Lukaku,romelu lukaku,FW
38,Joshua King,joshua king,FW
39,João Pedro,joao pedro,FW
40,Christian Benteke,christian benteke,FW
41,Jean-Philippe Mateta,jean philippe mateta,FW
42,Pascal Groß,pascal gross,FW
43,Maxwel Cornet,maxwell cornet,FW
44,Alexis Mac Allister,alexis macallister,FW
45,Mohamed Elyounoussi,mohamed elyounoussi,FW
46,Andros Townsend,andros townsend,FW
47,Christian Pulisic,christian pulisic,FW
48,Jack Harrison,jack harrison,FW
49,Jordan Ayew,jordan ayew,FW
50,Armando Broja,armando broja,FW
51,Raúl Jiménez,raul jimenez,FW
52,Chris Wood,chris wood,FW
53,Rodrigo,rodrigo,FW
54,Ismaïla Sarr,ismaila sarr,FW
55,Odsonne Édouard,odsonne edouard,FW
56,Nathan Redmond,nathan redmond,FW
57,Danny Ings,danny ings,FW
58,Hwang Hee-Chan,hwang hee chan,FW
59,Teemu Pukki,teemu pukki,FW
60,Cucho Hernández,cucho hernandez,FW
61,Neal Maupay,neal maupay,FW
62,Daniel James,danieljames,FW
63,Kelechi Iheanacho,kelechi iheanacho,FW
64,Patson Daka,patson daka,FW
65,Timo Werner,timo werner,FW
66,Milot Rashica,milot rashica,FW
67,Nicolas Pépé,nicolas pepe,FW
68,Ryan Fraser,ryan fraser,FW
69,Danny Welbeck,danny welbeck,FW
70,Yoane Wissa,yoane wissa,FW
71,Saman Ghoddos,saman ghoddos,FW
72,Marcus Rashford,marcus rashford,FW
73,Leon Bailey,leon bailey,FW
74,Jay Rodriguez,jay rodriguez,FW
75,Adam Armstrong,adam armstrong,FW
76,Adam Idah,adam idah,FW
77,Miguel Almirón,miguel almiron,FW
78,Joshua Sargent,joshua sargent,FW
79,Tyler Roberts,tyler roberts,FW
80,Steven Bergwijn,steven bergwijn,FW
81,Matej Vydra,matej vydra,FW
82,Nikola Vlasic,nikola vlasic,FW
83,Ashley Barnes,ashley barnes,FW
84,Fábio Silva,fabio silva,FW
0,Lionel Messi,lionel messi,FW
1,Cristiano Ronaldo,cristiano ronaldo,FW
2,Luis Suárez,luis suarez,FW
3,Gareth Bale,gareth bale,FW
4,Iago Aspas,iago aspas,FW
5,Antoine Griezmann,antoine griezmann,FW
